AvgSpotLen	BioSample	BioSampleModel	Experiment	Library_Name	MBases	MBytes	Replicate	Run	SRA_Sample	Sample_Name	collection_date	geo_loc_name	lat_lon	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	host
198	SAMN08813994	MIGS/MIMS/MIMARKS.human-gut	SRX3862919	VF114	3044	1486	replicate = biological replicate 75	SRR6915091	SRS3104973	VF114	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814053	MIGS/MIMS/MIMARKS.human-gut	SRX3862918	VF10	2723	1341	replicate = biological replicate 134	SRR6915092	SRS3104972	VF10	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814037	MIMS.me	SRX3862917	VF232	2135	1042	replicate = biological replicate 118	SRR6915093	SRS3104971	VF232	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814031	MIGS/MIMS/MIMARKS.human-gut	SRX3862916	VF217	9242	4498	replicate = biological replicate 112	SRR6915094	SRS3104970	VF217	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814036	MIGS/MIMS/MIMARKS.human-gut	SRX3862915	VF216	6358	3053	replicate = biological replicate 117	SRR6915095	SRS3104968	VF216	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814045	MIMS.me	SRX3862914	VF214	1316	637	replicate = biological replicate 126	SRR6915096	SRS3104967	VF214	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814044	MIGS/MIMS/MIMARKS.human-gut	SRX3862913	VF212	3239	1536	replicate = biological replicate 125	SRR6915097	SRS3104969	VF212	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814033	MIGS/MIMS/MIMARKS.human-gut	SRX3862912	VF208	8979	4341	replicate = biological replicate 114	SRR6915098	SRS3104966	VF208	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814029	MIGS/MIMS/MIMARKS.human-gut	SRX3862911	VF207	3669	1733	replicate = biological replicate 110	SRR6915099	SRS3104965	VF207	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814043	MIMS.me	SRX3862910	VF206	7696	3648	replicate = biological replicate 124	SRR6915100	SRS3104963	VF206	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814039	MIGS/MIMS/MIMARKS.human-gut	SRX3862909	VF251	4398	2118	replicate = biological replicate 120	SRR6915101	SRS3104964	VF251	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814030	MIGS/MIMS/MIMARKS.human-gut	SRX3862908	VF234	5621	2748	replicate = biological replicate 111	SRR6915102	SRS3104962	VF234	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813971	MIGS/MIMS/MIMARKS.human-gut	SRX3862907	SBJ27C	3339	1622	replicate = biological replicate 52	SRR6915103	SRS3104961	SBJ27C	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813956	MIGS/MIMS/MIMARKS.human-gut	SRX3862906	SBJ26C	3771	1799	replicate = biological replicate 37	SRR6915104	SRS3104960	SBJ26C	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813975	MIMS.me	SRX3862905	SBJ25C	2867	1395	replicate = biological replicate 56	SRR6915105	SRS3104959	SBJ25C	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813925	MIGS/MIMS/MIMARKS.human-gut	SRX3862904	SBJ24H	3350	1616	replicate = biological replicate 6	SRR6915106	SRS3104958	SBJ24H	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813949	MIGS/MIMS/MIMARKS.human-gut	SRX3862903	SBJ22C	2145	1030	replicate = biological replicate 30	SRR6915107	SRS3104956	SBJ22C	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813963	MIGS/MIMS/MIMARKS.human-gut	SRX3862902	SBJ21H	3329	1591	replicate = biological replicate 44	SRR6915108	SRS3104957	SBJ21H	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813954	MIMS.me	SRX3862901	SBJ20C	5933	2875	replicate = biological replicate 35	SRR6915109	SRS3104955	SBJ20C	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813964	MIGS/MIMS/MIMARKS.human-gut	SRX3862900	SBJ18H	2512	1207	replicate = biological replicate 45	SRR6915110	SRS3104951	SBJ18H	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
199	SAMN08813955	MIGS/MIMS/MIMARKS.human-gut	SRX3862899	SBJ17H	6742	3228	replicate = biological replicate 36	SRR6915111	SRS3104953	SBJ17H	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813923	MIGS/MIMS/MIMARKS.human-gut	SRX3862898	SBJ16H	4036	1943	replicate = biological replicate 4	SRR6915112	SRS3104954	SBJ16H	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814055	MIGS/MIMS/MIMARKS.human-gut	SRX3862897	VF171	12199	5938	replicate = biological replicate 136	SRR6915113	SRS3104952	VF171	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813943	MIGS/MIMS/MIMARKS.human-gut	SRX3862896	SBJ69H	3034	1488	replicate = biological replicate 24	SRR6915114	SRS3104948	SBJ69H	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813998	MIGS/MIMS/MIMARKS.human-gut	SRX3862895	VF166	2623	1286	replicate = biological replicate 79	SRR6915115	SRS3104946	VF166	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814042	MIGS/MIMS/MIMARKS.human-gut	SRX3862894	VF170	3722	1906	replicate = biological replicate 123	SRR6915116	SRS3104950	VF170	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813947	MIMS.me	SRX3862893	SBJ73H	4382	2169	replicate = biological replicate 28	SRR6915117	SRS3104949	SBJ73H	11-Jan-2016	Italy: Milan	45.414028 N 9.208268 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814035	MIGS/MIMS/MIMARKS.human-gut	SRX3862892	VF172	4609	2224	replicate = biological replicate 116	SRR6915118	SRS3104947	VF172	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08813999	MIMS.me	SRX3862891	VF174	3891	1922	replicate = biological replicate 80	SRR6915119	SRS3104945	VF174	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
198	SAMN08814000	MIGS/MIMS/MIMARKS.human-gut	SRX3862890	VF176	2309	1123	replicate = biological replicate 81	SRR6915120	SRS3104944	VF176	12-Feb-2017	Italy: Vercelli	45.312990 N 8.422263 E	WGS	PRJNA447983	ANDREWMALTEZTHOMAS@GMAIL.COM'S SHARED SUBMISSIONS	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	2018-03-29	human gut metagenome	ILLUMINA	2018-08-14	SRP136711	human	digestive system	stool	Homo sapiens
