fc,p.val,auc,auc.ci.l,auc.ci.h,pr.shift,pr.n,pr.p,p.adj,mOTU_nr,kingdom,phylum,class,order,family,genus,mOTU
0,0.08399568585523003,0.5107081962609324,0.4986773351154932,0.5227390574063716,0.021068362352563583,0.070873786407767,0.09194214876033058,0.1698886048611942,ext_mOTU_v31_15341,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0,0.9590285401545546,0.5053322835593357,0.4929863614154876,0.5176782057031838,0.011359624488485917,0.08058252427184466,0.09194214876033058,0.9756700248762107,ext_mOTU_v31_15372,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186804 Peptostreptococcaceae,NA Peptostreptococcaceae gen. incertae sedis,Peptostreptococcaceae species incertae sedis
0,0.08506220438793845,0.4890059576345984,0.4786363930913758,0.49937552217782105,-0.022320067399502534,0.070873786407767,0.04855371900826446,0.17134206814339342,ext_mOTU_v31_15409,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,31979 Clostridiaceae,1485 Clostridium,Clostridium species incertae sedis
0,0.13072541594966985,0.4891709460001605,0.4771959607147127,0.5011459312856082,-0.021985075824440342,0.09223300970873786,0.07024793388429752,0.23845284205634223,ext_mOTU_v31_15414,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,31979 Clostridiaceae,1485 Clostridium,Clostridium species incertae sedis
0,0.018139731791337103,0.48894778544491696,0.4768100226495473,0.5010855482402866,-0.02082764984353687,0.0941747572815534,0.07334710743801653,0.0509419246416698,ext_mOTU_v31_15424,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,1643822 Eggerthellales,1643826 Eggerthellaceae,NA Eggerthellaceae gen. incertae sedis,Eggerthellaceae species incertae sedis
-0.06387561266940252,0.011802247463373727,0.48623976971836635,0.46588349660478445,0.5065960428319483,-0.027110246329134224,0.28640776699029125,0.259297520661157,0.036442676336749594,ext_mOTU_v31_15427,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,1643822 Eggerthellales,1643826 Eggerthellaceae,NA Eggerthellaceae gen. incertae sedis,Eggerthellaceae species incertae sedis
-0.04753087852011922,0.4361594001904958,0.4825959841129744,0.46271988711985584,0.502472081106093,-0.0474604830297681,0.2912621359223301,0.24380165289256198,0.5718064564570534,ext_mOTU_v31_16187,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
0,0.5312628059321788,0.5009663604268635,0.4905257744185398,0.5114069464351872,0.0017271122522667104,0.059223300970873784,0.060950413223140494,0.6544808195384347,ext_mOTU_v31_16237,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
-0.040135371135356424,0.10325478008281123,0.4766639252186472,0.4570724617088536,0.4962553887284408,-0.056882371820588945,0.28932038834951457,0.23243801652892562,0.2002085794912777,ext_mOTU_v31_16238,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
0.054769943141710783,0.0036166397623270787,0.5191918077509428,0.5065596353312475,0.531823980170638,0.037659472037230204,0.07184466019417475,0.10950413223140495,0.014192789505546505,ext_mOTU_v31_16239,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
