Run,Assay Type,BioProject,BioSample,Center Name,Collection_Date,Consent,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,Bytes
ERR2017411,WGS,PRJEB21528,SAMEA104142374,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2076993,SAMEA104142374,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001356-43,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142374,N001,Illumina,ERP023788,N001,"sra,fastq","s3,ena","ena,s3.us-east-1",177,3161133051,2409737743
ERR2017412,WGS,PRJEB21528,SAMEA104142373,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2076994,SAMEA104142373,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001357-44,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142373,N002,Illumina,ERP023788,N002,"sra,fastq","s3,ena","ena,s3.us-east-1",157,2808375061,2461690116
ERR2017413,WGS,PRJEB21528,SAMEA104142372,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2076995,SAMEA104142372,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001358-45,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142372,N003,Illumina,ERP023788,N003,"fastq,sra","s3,ena","ena,s3.us-east-1",158,2807517536,2453740943
ERR2017414,WGS,PRJEB21528,SAMEA104142371,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2076996,SAMEA104142371,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001359-46,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142371,N005,Illumina,ERP023788,N005,"sra,fastq","ena,s3","s3.us-east-1,ena",158,3141515009,2756007878
ERR2017415,WGS,PRJEB21528,SAMEA104142370,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2076997,SAMEA104142370,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001360-47,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142370,N006,Illumina,ERP023788,N006,"sra,fastq","s3,ena","ena,s3.us-east-1",158,3671068081,3213635111
ERR2017416,WGS,PRJEB21528,SAMEA104142369,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2076998,SAMEA104142369,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001362-57,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142369,N009,Illumina,ERP023788,N009,"fastq,sra","s3,ena","s3.us-east-1,ena",156,3698292976,3284925472
ERR2017417,WGS,PRJEB21528,SAMEA104142368,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2076999,SAMEA104142368,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001364-74,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142368,N011,Illumina,ERP023788,N011,"fastq,sra","ena,s3","s3.us-east-1,ena",157,3140978085,2761780852
ERR2017418,WGS,PRJEB21528,SAMEA104142367,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077000,SAMEA104142367,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001457-75,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142367,N013,Illumina,ERP023788,N013,"sra,fastq","s3,ena","s3.us-east-1,ena",158,3468644898,3042098472
ERR2017419,WGS,PRJEB21528,SAMEA104142366,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077001,SAMEA104142366,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001459-84,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142366,N017,Illumina,ERP023788,N017,"sra,fastq","ena,s3","ena,s3.us-east-1",176,2579502381,1973114205
ERR2017420,WGS,PRJEB21528,SAMEA104142365,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077002,SAMEA104142365,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001462-89,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142365,N020,Illumina,ERP023788,N020,"sra,fastq","ena,s3","s3.us-east-1,ena",156,3412270303,3014499200
