Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Environmental_package,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id
ERR911953,WGS,196,6312997105,PRJEB9576,SAMEA3449148,4881478536,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991083,SAMEA3449148,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030669-41,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449148,YSZC12003_35365,Illumina,ERP010700,YSZC12003_35365
ERR911954,WGS,197,10037616654,PRJEB9576,SAMEA3449149,7574733108,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991084,SAMEA3449149,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030630-17,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449149,YSZC12003_35387,Illumina,ERP010700,YSZC12003_35387
ERR911955,WGS,195,7827377973,PRJEB9576,SAMEA3449150,6245959270,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991085,SAMEA3449150,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030694-89,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449150,YSZC12003_35388,Illumina,ERP010700,YSZC12003_35388
ERR911956,WGS,196,7652815700,PRJEB9576,SAMEA3449151,5789569857,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991086,SAMEA3449151,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030713-51,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449151,YSZC12003_35392,Illumina,ERP010700,YSZC12003_35392
ERR911957,WGS,195,7841948004,PRJEB9576,SAMEA3449152,6237361139,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991087,SAMEA3449152,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030711-111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449152,YSZC12003_35512,Illumina,ERP010700,YSZC12003_35512
ERR911958,WGS,196,7113529197,PRJEB9576,SAMEA3449153,5429245323,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991088,SAMEA3449153,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030655-19,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449153,YSZC12003_35515,Illumina,ERP010700,YSZC12003_35515
ERR911959,WGS,196,7257860977,PRJEB9576,SAMEA3449154,5497096593,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991089,SAMEA3449154,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030659-23,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449154,YSZC12003_35516,Illumina,ERP010700,YSZC12003_35516
ERR911960,WGS,196,7374481117,PRJEB9576,SAMEA3449155,5589624466,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","s3,ena","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991090,SAMEA3449155,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030701-99,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449155,YSZC12003_35523,Illumina,ERP010700,YSZC12003_35523
ERR911961,WGS,196,6282328411,PRJEB9576,SAMEA3449156,4775219387,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991091,SAMEA3449156,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030687-80,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449156,YSZC12003_35524,Illumina,ERP010700,YSZC12003_35524
ERR911962,WGS,196,6859792064,PRJEB9576,SAMEA3449157,5403571980,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991092,SAMEA3449157,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030705-104,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449157,YSZC12003_35542,Illumina,ERP010700,YSZC12003_35542
