Run,Assay Type,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,Submitter_Id,AvgSpotLen,Bases,instrument_model (run)
ERR1110279,WGS,PRJEB11532,SAMEA3646671,3142644429,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","s3,gs,ena","s3.us-east-1,gs.US,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189810,SAMEA3646671,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:13Z,public,NextSeq 500,FD1056,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646671,PNP_Validation_1,ERP012929,PNP_Validation_1,158,6060174308,
ERR1110294,WGS,PRJEB11532,SAMEA3646710,334277649,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,gs,s3","gs.US,ena,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189825,SAMEA3646710,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:08Z,public,NextSeq 500,FD1188,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646710,PNP_Validation_40,ERP012929,PNP_Validation_40,82,782469722,
ERR1110295,WGS,PRJEB11532,SAMEA3646711,433922019,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,s3,gs","s3.us-east-1,gs.US,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189826,SAMEA3646711,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1189,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646711,PNP_Validation_41,ERP012929,PNP_Validation_41,82,1035011998,
ERR1110296,WGS,PRJEB11532,SAMEA3646714,874221721,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,gs,s3","s3.us-east-1,ena,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189827,SAMEA3646714,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:09Z,public,NextSeq 500,FD1194,SINGLE,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646714,PNP_Validation_44,ERP012929,PNP_Validation_44,82,2091666472,
ERR1110297,WGS,PRJEB11532,SAMEA3646674,2585127203,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,ena,gs","gs.US,ena,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189828,SAMEA3646674,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:14Z,public,NextSeq 500,FD1135,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646674,PNP_Validation_4,ERP012929,PNP_Validation_4,158,6224673239,
ERR1110298,WGS,PRJEB11532,SAMEA3646675,1881199050,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,gs,s3","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189829,SAMEA3646675,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:16Z,public,NextSeq 500,FD1137,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646675,PNP_Validation_5,ERP012929,PNP_Validation_5,158,4429847727,
ERR1110299,WGS,PRJEB11532,SAMEA3646676,1293807522,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","s3,ena,gs","gs.US,ena,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189830,SAMEA3646676,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:09Z,public,NextSeq 500,FD1138,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646676,PNP_Validation_6,ERP012929,PNP_Validation_6,158,3029169071,
ERR1110300,WGS,PRJEB11532,SAMEA3646678,1621484069,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","s3,ena,gs","gs.US,ena,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189831,SAMEA3646678,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:08Z,public,NextSeq 500,FD1141,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646678,PNP_Validation_8,ERP012929,PNP_Validation_8,158,3934771940,
ERR1110301,WGS,PRJEB11532,SAMEA3646679,2237877188,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","s3,ena,gs","ena,s3.us-east-1,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189832,SAMEA3646679,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:15Z,public,NextSeq 500,FD1142,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646679,PNP_Validation_9,ERP012929,PNP_Validation_9,158,5398619650,
ERR1110302,WGS,PRJEB11532,SAMEA3646680,900474548,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,gs,ena","ena,gs.US,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189833,SAMEA3646680,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:09Z,public,NextSeq 500,FD1143,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646680,PNP_Validation_10,ERP012929,PNP_Validation_10,158,2128222316,
