sample_alias	experiment_name	subject_id	timepoint
PNPV__6483	ERR1110279	PNP_6483	0
PNPV__6477	ERR1110331	PNP_6477	0
PNPV__6484	ERR1110332	PNP_6484	0
PNPV__6479	ERR1110297	PNP_6479	0
PNPV__6476	ERR1110298	PNP_6476	0
PNPV__6496	ERR1110299	PNP_6496	0
PNPV__6487	ERR1110333	PNP_6487	0
PNPV__6486	ERR1110300	PNP_6486	0
PNPV__6485	ERR1110301	PNP_6485	0
PNPV__6488	ERR1110302	PNP_6488	0
PNPV__6515	ERR1110303	PNP_6515	0
PNPV__6500	ERR1110334	PNP_6500	0
PNPV__6499	ERR1110304	PNP_6499	0
PNPV__6514	ERR1110305	PNP_6514	0
PNPV__6501	ERR1110306	PNP_6501	0
PNPV__6517	ERR1110307	PNP_6517	0
PNPV__6517	ERR1110466	PNP_6517	0
PNPV__6513	ERR1110335	PNP_6513	0
PNPV__6506	ERR1110336	PNP_6506	0
PNPV__6512	ERR1110308	PNP_6512	0
PNPV__6510	ERR1110309	PNP_6510	0
PNPV__6507	ERR1110337	PNP_6507	0
PNPV__6522	ERR1110338	PNP_6522	0
PNPV__6521	ERR1110310	PNP_6521	0
PNPV__6525	ERR1110311	PNP_6525	0
PNPV__6526	ERR1110312	PNP_6526	0
PNPV__6523	ERR1110313	PNP_6523	0
PNPV__6527	ERR1110339	PNP_6527	0
PNPV__6540	ERR1110314	PNP_6540	0
PNPV__6528	ERR1110315	PNP_6528	0
PNPV__6491	ERR1110316	PNP_6491	0
PNPV__6490	ERR1110317	PNP_6490	0
PNPV__6492	ERR1110318	PNP_6492	0
PNPV__6482	ERR1110319	PNP_6482	0
PNPV__6504	ERR1110340	PNP_6504	0
PNPV__6502	ERR1110341	PNP_6502	0
PNPV__6505	ERR1110320	PNP_6505	0
PNPV__6503	ERR1110321	PNP_6503	0
PNPV__6536	ERR1110322	PNP_6536	0
PNPV__6518	ERR1110323	PNP_6518	0
PNPV__6534	ERR1110294	PNP_6534	0
PNPV__6534	ERR1110324	PNP_6534	0
PNPV__6519	ERR1110295	PNP_6519	0
PNPV__6519	ERR1110325	PNP_6519	0
PNPV__6539	ERR1110326	PNP_6539	0
PNPV__6556	ERR1110327	PNP_6556	0
PNPV__6555	ERR1110296	PNP_6555	0
PNPV__6555	ERR1110328	PNP_6555	0
PNPV__6554	ERR1110329	PNP_6554	0
PNPV__6554	ERR1110467	PNP_6554	0
PNPV__6553	ERR1110330	PNP_6553	0
PNPV__6551	ERR1110342	PNP_6551	0
PNPV__6545	ERR1110352	PNP_6545	0
PNPV__6543	ERR1110433	PNP_6543	0
PNPV__6550	ERR1110434	PNP_6550	0
PNPV__6549	ERR1110435	PNP_6549	0
PNPV__6549	ERR1110468	PNP_6549	0
PNPV__6532	ERR1110353	PNP_6532	0
PNPV__6531	ERR1110343	PNP_6531	0
