cazy_family	phylum	meanCopyNumber	prevalence
AA1	Proteobacteria	1.116985926505082	0.5440774042220484
AA1	Firmicutes	0.016137638859693094	0.014650000808498941
AA1	Candidatus Melainabacteria	0	0
AA1	Chloroflexi	0	0
AA1	Actinobacteria	0.04172740524781341	0.029336734693877552
AA1	Spirochaetes	0	0
AA1	Lentisphaerae	0	0
AA1	Euryarchaeota	0.012121212121212121	0.00404040404040404
AA1	Fusobacteria	0.031818181818181815	0.02727272727272727
AA1	Synergistetes	0	0
AA1	Tenericutes	0	0
AA1	Fibrobacteres	0	0
AA1	Elusimicrobia	0	0
AA1	Verrucomicrobia	0.7032122905027933	0.7011173184357542
AA1	Bacteroidetes	1.7845192951148784e-4	1.338389471336159e-4
AA1	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
AA1	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA1	Bacteria phylum incertae sedis	0	0
AA1		0.04638109305760709	0.030132939438700147
AA10	Proteobacteria	0.06890148553557467	0.05306880375293198
AA10	Firmicutes	0.021392881975324612	0.014213411380431092
AA10	Candidatus Melainabacteria	0	0
AA10	Chloroflexi	0	0
AA10	Actinobacteria	0.0012755102040816328	7.288629737609329e-4
AA10	Spirochaetes	0	0
AA10	Lentisphaerae	0	0
AA10	Euryarchaeota	0	0
AA10	Fusobacteria	0	0
AA10	Synergistetes	0	0
AA10	Tenericutes	0	0
AA10	Fibrobacteres	0	0
AA10	Elusimicrobia	0	0
AA10	Verrucomicrobia	0	0
AA10	Bacteroidetes	0.0014276154360919027	0.0014276154360919027
AA10	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
AA10	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA10	Bacteria phylum incertae sedis	0	0
AA10		0.011225997045790252	0.007385524372230428
AA3	Proteobacteria	0.017298670836591087	0.01690774042220485
AA3	Firmicutes	1.9403974580793298e-4	1.616997881732775e-4
AA3	Candidatus Melainabacteria	0	0
AA3	Chloroflexi	0	0
AA3	Actinobacteria	0.0029154518950437317	0.0023688046647230322
AA3	Spirochaetes	0	0
AA3	Lentisphaerae	0	0
AA3	Euryarchaeota	0.00202020202020202	0.00202020202020202
AA3	Fusobacteria	0	0
AA3	Synergistetes	0	0
AA3	Tenericutes	0	0
AA3	Fibrobacteres	0	0
AA3	Elusimicrobia	0	0
AA3	Verrucomicrobia	0	0
AA3	Bacteroidetes	1.338389471336159e-4	1.338389471336159e-4
AA3	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
AA3	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA3	Bacteria phylum incertae sedis	0	0
AA3		8.862629246676514e-4	8.862629246676514e-4
AA3_2	Proteobacteria	0.4573885848318999	0.41507036747458953
AA3_2	Firmicutes	0.004268874407774526	0.004268874407774526
AA3_2	Candidatus Melainabacteria	0	0
AA3_2	Chloroflexi	0	0
AA3_2	Actinobacteria	0.007653061224489796	0.006924198250728863
AA3_2	Spirochaetes	0	0
AA3_2	Lentisphaerae	0	0
AA3_2	Euryarchaeota	0.00202020202020202	0.00202020202020202
AA3_2	Fusobacteria	0	0
AA3_2	Synergistetes	0	0
AA3_2	Tenericutes	0	0
AA3_2	Fibrobacteres	0	0
AA3_2	Elusimicrobia	0	0
AA3_2	Verrucomicrobia	0	0
AA3_2	Bacteroidetes	0	0
AA3_2	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
AA3_2	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA3_2	Bacteria phylum incertae sedis	0	0
AA3_2		0.012407680945347119	0.009748892171344165
AA4	Proteobacteria	0.1313526192337764	0.09783033620015637
AA4	Firmicutes	0.1512863218149184	0.09352715747942371
AA4	Candidatus Melainabacteria	0.5	0.5
AA4	Chloroflexi	0	0
AA4	Actinobacteria	0.02532798833819242	0.025145772594752185
AA4	Spirochaetes	0.03571428571428571	0.03571428571428571
AA4	Lentisphaerae	1.0512820512820513	0.9743589743589743
AA4	Euryarchaeota	0.11313131313131314	0.08282828282828283
AA4	Fusobacteria	0.05909090909090909	0.05909090909090909
AA4	Synergistetes	1.0357142857142858	0.6071428571428571
AA4	Tenericutes	0	0
AA4	Fibrobacteres	0	0
AA4	Elusimicrobia	0	0
AA4	Verrucomicrobia	0.9671787709497207	0.9357541899441341
AA4	Bacteroidetes	1.338389471336159e-4	1.338389471336159e-4
AA4	Bacteria phylum [Firmicutes/Actinobacteria]	0.5555555555555556	0.5555555555555556
AA4	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA4	Bacteria phylum incertae sedis	0.060571428571428575	0.05714285714285714
AA4		0.11285081240768094	0.08094534711964549
AA5	Proteobacteria	9.773260359655981e-5	9.773260359655981e-5
AA5	Firmicutes	0	0
AA5	Candidatus Melainabacteria	0	0
AA5	Chloroflexi	0	0
AA5	Actinobacteria	1.8221574344023323e-4	1.8221574344023323e-4
AA5	Spirochaetes	0	0
AA5	Lentisphaerae	0	0
AA5	Euryarchaeota	0	0
AA5	Fusobacteria	0	0
AA5	Synergistetes	0	0
AA5	Tenericutes	0	0
AA5	Fibrobacteres	0	0
AA5	Elusimicrobia	0	0
AA5	Verrucomicrobia	0	0
AA5	Bacteroidetes	0	0
AA5	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
AA5	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA5	Bacteria phylum incertae sedis	0	0
AA5		0	0
AA6	Proteobacteria	0.6504104769351056	0.5361610633307271
AA6	Firmicutes	0.04136280581472438	0.03272803712627136
AA6	Candidatus Melainabacteria	0.07142857142857142	0.07142857142857142
AA6	Chloroflexi	0	0
AA6	Actinobacteria	0.049198250728862976	0.048833819241982504
AA6	Spirochaetes	0.11904761904761904	0.11904761904761904
AA6	Lentisphaerae	0.5641025641025641	0.5641025641025641
AA6	Euryarchaeota	0.9252525252525252	0.907070707070707
AA6	Fusobacteria	0.05909090909090909	0.05909090909090909
AA6	Synergistetes	0.07142857142857142	0.03571428571428571
AA6	Tenericutes	0	0
AA6	Fibrobacteres	0	0
AA6	Elusimicrobia	0	0
AA6	Verrucomicrobia	0.0013966480446927375	0.0013966480446927375
AA6	Bacteroidetes	0.033772027660049074	0.0337274146776712
AA6	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
AA6	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA6	Bacteria phylum incertae sedis	0.02057142857142857	0.02057142857142857
AA6		0.06558345642540621	0.05790251107828656
AA7	Proteobacteria	0.17396403440187647	0.1558835027365129
AA7	Firmicutes	0.15709134421033907	0.12169526057920864
AA7	Candidatus Melainabacteria	0.14285714285714285	0.14285714285714285
AA7	Chloroflexi	0.001607717041800643	0.001607717041800643
AA7	Actinobacteria	0.016034985422740525	0.012208454810495626
AA7	Spirochaetes	0.17857142857142858	0.17857142857142858
AA7	Lentisphaerae	0.5641025641025641	0.5641025641025641
AA7	Euryarchaeota	0.04242424242424243	0.04242424242424243
AA7	Fusobacteria	0.20454545454545456	0.20454545454545456
AA7	Synergistetes	0.03571428571428571	0.03571428571428571
AA7	Tenericutes	0	0
AA7	Fibrobacteres	0	0
AA7	Elusimicrobia	0	0
AA7	Verrucomicrobia	0.07192737430167598	0.07192737430167598
AA7	Bacteroidetes	1.338389471336159e-4	8.922596475574392e-5
AA7	Bacteria phylum [Firmicutes/Actinobacteria]	0.5555555555555556	0.5555555555555556
AA7	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA7	Bacteria phylum incertae sedis	0.009142857142857144	0.009142857142857144
AA7		0.09039881831610044	0.07651403249630724
AA8	Proteobacteria	0.40871774824081314	0.3981626270523847
AA8	Firmicutes	0.00394547483142797	0.003945474831427971
AA8	Candidatus Melainabacteria	0	0
AA8	Chloroflexi	0	0
AA8	Actinobacteria	0.003826530612244898	0.003826530612244898
AA8	Spirochaetes	0	0
AA8	Lentisphaerae	0	0
AA8	Euryarchaeota	0	0
AA8	Fusobacteria	0	0
AA8	Synergistetes	0	0
AA8	Tenericutes	0	0
AA8	Fibrobacteres	0	0
AA8	Elusimicrobia	0	0
AA8	Verrucomicrobia	0	0
AA8	Bacteroidetes	0	0
AA8	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
AA8	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
AA8	Bacteria phylum incertae sedis	0	0
AA8		0.00827178729689808	0.00827178729689808
CBM1	Proteobacteria	0	0
CBM1	Firmicutes	1.616997881732774e-5	1.6169978817327748e-5
CBM1	Candidatus Melainabacteria	0	0
CBM1	Chloroflexi	0	0
CBM1	Actinobacteria	0	0
CBM1	Spirochaetes	0	0
CBM1	Lentisphaerae	0	0
CBM1	Euryarchaeota	0	0
CBM1	Fusobacteria	0	0
CBM1	Synergistetes	0	0
CBM1	Tenericutes	0	0
CBM1	Fibrobacteres	0	0
CBM1	Elusimicrobia	0	0
CBM1	Verrucomicrobia	0	0
CBM1	Bacteroidetes	0	0
CBM1	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM1	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM1	Bacteria phylum incertae sedis	0	0
CBM1		0	0
CBM10	Proteobacteria	7.818608287724785e-4	7.818608287724785e-4
CBM10	Firmicutes	4.850993645198325e-5	4.8509936451983245e-5
CBM10	Candidatus Melainabacteria	0	0
CBM10	Chloroflexi	0	0
CBM10	Actinobacteria	0.002186588921282799	0.002186588921282799
CBM10	Spirochaetes	0	0
CBM10	Lentisphaerae	0	0
CBM10	Euryarchaeota	0	0
CBM10	Fusobacteria	0	0
CBM10	Synergistetes	0	0
CBM10	Tenericutes	0	0
CBM10	Fibrobacteres	0	0
CBM10	Elusimicrobia	0	0
CBM10	Verrucomicrobia	0	0
CBM10	Bacteroidetes	8.922596475574392e-5	8.922596475574392e-5
CBM10	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM10	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM10	Bacteria phylum incertae sedis	0	0
CBM10		0	0
CBM11	Proteobacteria	0	0
CBM11	Firmicutes	0	0
CBM11	Candidatus Melainabacteria	0	0
CBM11	Chloroflexi	0	0
CBM11	Actinobacteria	0	0
CBM11	Spirochaetes	0	0
CBM11	Lentisphaerae	0	0
CBM11	Euryarchaeota	0	0
CBM11	Fusobacteria	0	0
CBM11	Synergistetes	0	0
CBM11	Tenericutes	0	0
CBM11	Fibrobacteres	1	1
CBM11	Elusimicrobia	0	0
CBM11	Verrucomicrobia	0	0
CBM11	Bacteroidetes	0	0
CBM11	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM11	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM11	Bacteria phylum incertae sedis	0	0
CBM11		0	0
CBM12	Proteobacteria	0.020426114151681	0.020132916340891323
CBM12	Firmicutes	0.021004802483708746	0.015393819834096018
CBM12	Candidatus Melainabacteria	0	0
CBM12	Chloroflexi	0	0
CBM12	Actinobacteria	0.007106413994169096	0.00674198250728863
CBM12	Spirochaetes	0	0
CBM12	Lentisphaerae	0	0
CBM12	Euryarchaeota	0	0
CBM12	Fusobacteria	0	0
CBM12	Synergistetes	0	0
CBM12	Tenericutes	0	0
CBM12	Fibrobacteres	0	0
CBM12	Elusimicrobia	0	0
CBM12	Verrucomicrobia	6.983240223463687e-4	6.983240223463687e-4
CBM12	Bacteroidetes	8.476466651795672e-4	8.476466651795672e-4
CBM12	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM12	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM12	Bacteria phylum incertae sedis	0.001142857142857143	0.001142857142857143
CBM12		0.01772525849335303	0.012998522895125554
CBM13	Proteobacteria	0.07105160281469898	0.06557857701329163
CBM13	Firmicutes	0.3563216532186343	0.24254968225991624
CBM13	Candidatus Melainabacteria	0	0
CBM13	Chloroflexi	0.00964630225080386	0.006430868167202572
CBM13	Actinobacteria	0.40852769679300294	0.32088192419825073
CBM13	Spirochaetes	0	0
CBM13	Lentisphaerae	0	0
CBM13	Euryarchaeota	0.014141414141414142	0.00808080808080808
CBM13	Fusobacteria	0	0
CBM13	Synergistetes	0	0
CBM13	Tenericutes	0.01639344262295082	0.01639344262295082
CBM13	Fibrobacteres	0	0
CBM13	Elusimicrobia	0.013157894736842105	0.013157894736842105
CBM13	Verrucomicrobia	6.983240223463687e-4	6.983240223463687e-4
CBM13	Bacteroidetes	0.21994200312290876	0.1417800579968771
CBM13	Bacteria phylum [Firmicutes/Actinobacteria]	0.1111111111111111	0.1111111111111111
CBM13	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM13	Bacteria phylum incertae sedis	0.027428571428571427	0.018285714285714287
CBM13		0.27444608567208273	0.18729689807976366
CBM14	Proteobacteria	6.841282251759187e-4	5.863956215793589e-4
CBM14	Firmicutes	0	0
CBM14	Candidatus Melainabacteria	0	0
CBM14	Chloroflexi	0	0
CBM14	Actinobacteria	0	0
CBM14	Spirochaetes	0	0
CBM14	Lentisphaerae	0	0
CBM14	Euryarchaeota	0	0
CBM14	Fusobacteria	0	0
CBM14	Synergistetes	0	0
CBM14	Tenericutes	0	0
CBM14	Fibrobacteres	0	0
CBM14	Elusimicrobia	0	0
CBM14	Verrucomicrobia	0	0
CBM14	Bacteroidetes	0.002364488066027214	0.002186036136515726
CBM14	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM14	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM14	Bacteria phylum incertae sedis	0	0
CBM14		2.954209748892171e-4	2.954209748892171e-4
CBM16	Proteobacteria	0	0
CBM16	Firmicutes	9.863687078569927e-4	9.863687078569927e-4
CBM16	Candidatus Melainabacteria	0	0
CBM16	Chloroflexi	0	0
CBM16	Actinobacteria	3.6443148688046647e-4	3.6443148688046647e-4
CBM16	Spirochaetes	0	0
CBM16	Lentisphaerae	0	0
CBM16	Euryarchaeota	0	0
CBM16	Fusobacteria	0	0
CBM16	Synergistetes	0	0
CBM16	Tenericutes	0	0
CBM16	Fibrobacteres	0	0
CBM16	Elusimicrobia	0	0
CBM16	Verrucomicrobia	0	0
CBM16	Bacteroidetes	0	0
CBM16	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM16	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM16	Bacteria phylum incertae sedis	0	0
CBM16		8.862629246676514e-4	8.862629246676514e-4
CBM17	Proteobacteria	0	0
