plate	media	time	Variable	condition	strainID	species	replicate	OD_adjusted
P1	WCA	0.5	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	0.5	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	0.5	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	0.5	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	0.5	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	0.5	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	0.5	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	0.5	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	0.5	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	0.5	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	0.5	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	0.5	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	1	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	1	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	1	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	1	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	1	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	1	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	1	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	1	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	1	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	1	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	1	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	1	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	2	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	2	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	2	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	2	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	2	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	2	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	2	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	2	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	2	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	2	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	2	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	2	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	3	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	3	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	3	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	3	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	3	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	3	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	3	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.01
P1	WCA	3	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.013
P1	WCA	3	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.015
P1	WCA	3	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.029
P1	WCA	3	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.011
P1	WCA	3	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.027
P1	WCA	4	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.011
P1	WCA	4	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	4	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	4	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	4	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.01
P1	WCA	4	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	4	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.016
P1	WCA	4	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.023
P1	WCA	4	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.022
P1	WCA	4	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.045
P1	WCA	4	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.023
P1	WCA	4	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.04
P1	WCA	5	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.015
P1	WCA	5	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.01
P1	WCA	5	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.014
P1	WCA	5	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.01
P1	WCA	5	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.015
P1	WCA	5	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.01
P1	WCA	5	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.022
P1	WCA	5	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.034
