genus	familyGroup	numberCAZyGenes	numberCAZyGenesSD	numberUniqueCAZyFamilies	numberUniqueCAZyFamiliesSD	N
Absiella	CBM	4.666666666666667	0	2	0	1
Absiella	CE	6.666666666666667	0	2.888888888888889	0	1
Absiella	GH	21.444444444444443	0	14.333333333333334	0	1
Absiella	GT	17.88888888888889	0	6.888888888888889	0	1
Acetivibrio	CBM	12	0	4	0	1
Acetivibrio	CE	7	0	3	0	1
Acetivibrio	GH	30	0	24	0	1
Acetivibrio	GT	26	0	7	0	1
Acetobacter	CBM	3.3214285714285716	0	2	0	1
Acetobacter	CE	1.9642857142857142	0	1.9642857142857142	0	1
Acetobacter	GH	15.285714285714286	0	10.785714285714286	0	1
Acetobacter	GT	38.392857142857146	0	11.821428571428571	0	1
Acetobacter	PL	1	0	1	0	1
Acetomicrobium	CBM	2	0	2	0	1
Acetomicrobium	CE	1	0	1	0	1
Acetomicrobium	GH	9	0	8	0	1
Acetomicrobium	GT	23	0	12	0	1
Acholeplasma	CBM	2.272727272727273	0	1.0909090909090908	0	1
Acholeplasma	CE	3.4545454545454546	0	1	0	1
Acholeplasma	GH	3	0	3	0	1
Acholeplasma	GT	8.909090909090908	0	4	0	1
Achromobacter	CBM	9	0	2	0	1
Achromobacter	CE	13	0	4	0	1
Achromobacter	GH	24	0	17	0	1
Achromobacter	GT	57	0	12	0	1
Achromobacter	PL	1	0	2	0	1
Acidaminococcaceae gen. incertae sedis	CBM	2	0	1.3333333333333335	0.47140452079103173	2
Acidaminococcaceae gen. incertae sedis	CE	3.95	1.3435028842544405	2.5	0.7071067811865476	2
Acidaminococcaceae gen. incertae sedis	GH	4.25	1.7677669529663689	4.85	2.616295090390226	2
Acidaminococcaceae gen. incertae sedis	GT	14.85	6.858935777509511	9.1	2.969848480983499	2
Acidaminococcus	CBM	2.6000574031039982	0.8664605542944589	2.0140652557319223	0.8426530798187173	9
Acidaminococcus	CE	5.389940816153649	2.243283428493892	3.3918764247402744	1.057889058955055	9
Acidaminococcus	GH	7.837552220572565	7.12489416997053	6.732735459926383	3.395188932025263	9
Acidaminococcus	GT	19.323956798722058	3.9278112692760043	10.661177081482245	1.1234928964860647	9
Acidaminococcus	PL	10	0	9	0	1
Acidiphilium	CBM	8.159614389233955	1.2265504439720563	3.234924948240166	0.5391054642832825	4
Acidiphilium	CE	6.392274844720497	0.4152758517026275	3.1607142857142856	0.23600270954284536	4
Acidiphilium	GH	41.21959109730849	9.311957352626173	21.654956004140786	2.2413925323184727	4
Acidiphilium	GT	12.687823498964804	2.32152355267653	5.945652173913043	0.10869565217391308	4
Acidiphilium	PL	1.1666666666666667	0.28867513459481287	1.1666666666666667	0.28867513459481287	3
Acidovorax	CBM	6	0	2	0	1
Acidovorax	CE	9	0	3	0	1
Acidovorax	GH	12	0	6	0	1
Acidovorax	GT	23	0	9	0	1
Acinetobacter	CBM	5.638095238095238	1.5197449097058926	1.217857142857143	0.4139195152192816	10
Acinetobacter	CE	5.930357142857143	2.4525672381345993	2.886904761904762	0.37035737883488323	10
Acinetobacter	GH	13.516666666666666	3.1260634370960556	6.044642857142858	1.1601468902161944	10
Acinetobacter	GT	18.24345238095238	3.715498515281253	8.661309523809525	0.6401843442189274	10
Acinetobacter	PL	1	0	1	0	1
Actinobacteria gen. [Trueperella/Streptomyces]	CBM	5.666666666666667	0	4.333333333333333	0	1
Actinobacteria gen. [Trueperella/Streptomyces]	CE	3	0	2	0	1
Actinobacteria gen. [Trueperella/Streptomyces]	GH	29	0	24.666666666666668	0	1
Actinobacteria gen. [Trueperella/Streptomyces]	GT	18.333333333333332	0	7	0	1
Actinobacteria gen. [Xylanimonas/Schaalia/Sanguibacter]	CBM	8	0	5	0	1
Actinobacteria gen. [Xylanimonas/Schaalia/Sanguibacter]	CE	4	0	3	0	1
Actinobacteria gen. [Xylanimonas/Schaalia/Sanguibacter]	GH	26	0	19	0	1
Actinobacteria gen. [Xylanimonas/Schaalia/Sanguibacter]	GT	26	0	8	0	1
Actinobaculum	CBM	7	0	3	0	1
Actinobaculum	CE	6	0	4	0	1
Actinobaculum	GH	19	0	16	0	1
Actinobaculum	GT	21	0	8	0	1
Actinomyces	CBM	7.405753968253968	1.713041112151301	3.760251322751323	0.9538400594269487	12
Actinomyces	CE	3.8955026455026456	1.4468995568612604	2.728835978835979	0.953065130229895	12
Actinomyces	GH	29.514219576719576	8.904672433453674	23.053902116402117	4.892334556007355	12
Actinomyces	GT	26.16005291005291	8.626198427586335	6.733796296296296	0.8815557946916962	12
Actinomycetaceae gen. [Actinomyces/Arcanobacterium]	CBM	6.6	0	3	0	1
Actinomycetaceae gen. [Actinomyces/Arcanobacterium]	CE	4	0	2	0	1
Actinomycetaceae gen. [Actinomyces/Arcanobacterium]	GH	25.4	0	22.8	0	1
Actinomycetaceae gen. [Actinomyces/Arcanobacterium]	GT	23.4	0	5.8	0	1
Actinomycetaceae gen. [Actinomyces/Schaalia]	CBM	8.727272727272727	0	4.454545454545454	0	1
Actinomycetaceae gen. [Actinomyces/Schaalia]	CE	5.863636363636363	0	4.863636363636363	0	1
Actinomycetaceae gen. [Actinomyces/Schaalia]	GH	41.45454545454545	0	29.636363636363637	0	1
Actinomycetaceae gen. [Actinomyces/Schaalia]	GT	15.181818181818182	0	5	0	1
Actinomycetaceae gen. incertae sedis	CBM	10	0	4	0	2
Actinomycetaceae gen. incertae sedis	CE	1	0	1	0	2
Actinomycetaceae gen. incertae sedis	GH	28.5	2.1213203435596424	21.5	2.1213203435596424	2
Actinomycetaceae gen. incertae sedis	GT	11	0	6	0	2
Adlercreutzia	CBM	1.4583333333333333	0	1.375	0	1
Adlercreutzia	CE	2.3541666666666665	0	1.9375	0	1
Adlercreutzia	GH	6.142857142857143	0	5.857142857142857	0	1
Adlercreutzia	GT	9.040816326530612	0	3.3877551020408165	0	1
Aeromicrobium	CBM	9	0	4	0	1
Aeromicrobium	CE	8	0	4	0	1
Aeromicrobium	GH	28	0	20	0	1
Aeromicrobium	GT	29	0	8	0	1
Aeromonas	CBM	19.076666666666668	6.226640792237461	6.193333333333333	2.4055953294120123	5
Aeromonas	CE	4.516666666666667	0.8668269082630562	3.95	0.7158910531638176	5
Aeromonas	GH	40.446666666666665	13.73409383007606	25.223333333333333	7.54777009012154	5
Aeromonas	GT	29.416666666666668	3.5384789575936897	13.223333333333333	1.4951588544365448	5
Aeromonas	PL	1	0	1	0	4
Afipia	CBM	3.7	0	1	0	1
Afipia	CE	4.8	0	2.9	0	1
Afipia	GH	18.4	0	10	0	1
Afipia	GT	40.2	0	9.7	0	1
Afipia	PL	1	0	1	0	1
Aggregatibacter	CBM	4	0.816496580927726	2	0	4
Aggregatibacter	CE	1.75	0.5	1.75	0.5	4
Aggregatibacter	GH	11.25	0.5	9.25	0.5	4
Aggregatibacter	GT	21.75	2.6299556396765835	11.75	0.5	4
Akkermansia	CBM	12.988630680582736	3.2991781157581337	4.120643980575488	0.43392833275887616	6
Akkermansia	CE	4.022600021743857	0.55402337448773	3.2087111328549685	0.4256836669971647	6
Akkermansia	GH	65.09506505037326	21.00668996166036	28.419166304269044	3.6992265572641383	6
Akkermansia	GT	59.845693810248605	10.324888244025061	15.276935203305065	1.5606709317813756	6
Akkermansia	PL	1.5204004004004004	1.1625318408894798	1.4	0.8944271909999159	5
Alistipes	CBM	9.522162572561259	3.7886810628403595	3.942381534392981	1.419715272632169	45
Alistipes	CE	8.39186163251746	3.043261399838088	4.496045700854842	1.6183854040112187	45
Alistipes	GH	57.88223687121328	30.614965312942644	28.483581525091502	10.332369774413673	45
Alistipes	GT	24.69572218841304	6.668740118328616	10.149974642221746	1.8958761905352775	45
Alistipes	PL	4.958836318282019	5.4169784546038455	3.945748786156026	3.727534931035771	26
Allisonella	CBM	1.8666666666666667	0	1	0	1
Allisonella	CE	4.266666666666667	0	3.3333333333333335	0	1
Allisonella	GH	1.7333333333333334	0	1.5333333333333334	0	1
Allisonella	GT	19.8	0	10.133333333333333	0	1
Alloscardovia	CBM	5	0	5	0	1
Alloscardovia	CE	2	0	2	0	1
Alloscardovia	GH	29	0	20.5	0	1
Alloscardovia	GT	14	0	7	0	1
Alphaproteobacteria gen. incertae sedis	CBM	2.5	0.5477225575051661	1.5833333333333333	0.4915960401250875	6
Alphaproteobacteria gen. incertae sedis	CE	1.25	0.4183300132670378	1.25	0.4183300132670378	6
Alphaproteobacteria gen. incertae sedis	GH	8.583333333333334	2.8708303096258874	8	2.280350850198276	6
Alphaproteobacteria gen. incertae sedis	GT	18.666666666666668	3.65604522218567	9.333333333333334	2.041241452319315	6
Alphaproteobacteria gen. incertae sedis	PL	1	0	1	0	1
Anaerobiospirillum	CBM	6	0	2	0	1
Anaerobiospirillum	CE	4	0	3	0	1
Anaerobiospirillum	GH	21	0	13	0	1
Anaerobiospirillum	GT	27	0	13	0	1
Anaerococcus	CBM	4.488095238095238	0.8332417532096068	1.3738095238095238	0.5236588194794003	14
Anaerococcus	CE	2.6952380952380954	0.9102321618810162	1.9238095238095239	0.2664834535453018	14
Anaerococcus	GH	16.146428571428572	4.018143565967712	13.8	3.683434851832228	14
Anaerococcus	GT	11.5	2.484137711750331	6.404761904761905	0.9238397336550607	14
Anaerocolumna	CBM	30.666666666666668	0	9.333333333333334	0	1
Anaerocolumna	CE	17	0	6	0	1
Anaerocolumna	GH	78.66666666666667	0	36.333333333333336	0	1
Anaerocolumna	GT	34.333333333333336	0	8	0	1
Anaerocolumna	PL	1	0	1	0	1
Anaerofustis	CBM	2	0	1	0	1
Anaerofustis	CE	6.5	0	2	0	1
Anaerofustis	GH	6.5	0	2.5	0	1
Anaerofustis	GT	8.5	0	4	0	1
Anaeroglobus	CBM	1.375	0	1	0	1
Anaeroglobus	CE	3.75	0	3	0	1
Anaeroglobus	GH	3.375	0	3	0	1
Anaeroglobus	GT	18.25	0	9.75	0	1
Anaeromassilibacillus	CBM	16.17063492063492	8.809719538795191	5.666666666666667	2.309401076758503	3
Anaeromassilibacillus	CE	9.777777777777779	1.3471506281091266	3.361111111111111	0.5548606765399494	3
Anaeromassilibacillus	GH	39.46825396825397	16.053205423963647	25.642857142857142	10.701659226684507	3
Anaeromassilibacillus	GT	28.460317460317462	1.3688578198317711	7.563492063492063	1.2441093248158406	3
Anaeromassilibacillus	PL	1	0	1	0	1
Anaerosalibacter	CBM	7	0	2	0	1
Anaerosalibacter	CE	10	0	3	0	1
Anaerosalibacter	GH	11	0	10	0	1
Anaerosalibacter	GT	16	0	7	0	1
Anaerosporobacter	CBM	42	0	15	0	1
Anaerosporobacter	CE	15	0	6	0	1
