genus	familyGroup	category	copy number
Acetobacter	CBM	numberCAZyGenes	3.3214285714285716
Acetobacter	CBM	numberUniqueCAZyFamilies	2
Acetobacter	CE	numberCAZyGenes	1.9642857142857142
Acetobacter	CE	numberUniqueCAZyFamilies	1.9642857142857142
Acetobacter	GH	numberCAZyGenes	15.285714285714286
Acetobacter	GH	numberUniqueCAZyFamilies	10.785714285714286
Acetobacter	GT	numberCAZyGenes	38.392857142857146
Acetobacter	GT	numberUniqueCAZyFamilies	11.821428571428571
Acetobacter	PL	numberCAZyGenes	1
Acetobacter	PL	numberUniqueCAZyFamilies	1
Acidiphilium	CBM	numberCAZyGenes	8.159614389233955
Acidiphilium	CBM	numberUniqueCAZyFamilies	3.234924948240166
Acidiphilium	CE	numberCAZyGenes	6.392274844720497
Acidiphilium	CE	numberUniqueCAZyFamilies	3.1607142857142856
Acidiphilium	GH	numberCAZyGenes	41.21959109730849
Acidiphilium	GH	numberUniqueCAZyFamilies	21.654956004140786
Acidiphilium	GT	numberCAZyGenes	12.687823498964804
Acidiphilium	GT	numberUniqueCAZyFamilies	5.945652173913043
Acidiphilium	PL	numberCAZyGenes	1.1666666666666667
Acidiphilium	PL	numberUniqueCAZyFamilies	1.1666666666666667
Akkermansia	CBM	numberCAZyGenes	12.988630680582736
Akkermansia	CBM	numberUniqueCAZyFamilies	4.120643980575488
Akkermansia	CE	numberCAZyGenes	4.022600021743857
Akkermansia	CE	numberUniqueCAZyFamilies	3.2087111328549685
Akkermansia	GH	numberCAZyGenes	65.09506505037326
Akkermansia	GH	numberUniqueCAZyFamilies	28.419166304269044
Akkermansia	GT	numberCAZyGenes	59.845693810248605
Akkermansia	GT	numberUniqueCAZyFamilies	15.276935203305065
Akkermansia	PL	numberCAZyGenes	1.5204004004004004
Akkermansia	PL	numberUniqueCAZyFamilies	1.4
Alistipes	CBM	numberCAZyGenes	9.522162572561259
Alistipes	CBM	numberUniqueCAZyFamilies	3.942381534392981
Alistipes	CE	numberCAZyGenes	8.39186163251746
Alistipes	CE	numberUniqueCAZyFamilies	4.496045700854842
Alistipes	GH	numberCAZyGenes	57.88223687121328
Alistipes	GH	numberUniqueCAZyFamilies	28.483581525091502
Alistipes	GT	numberCAZyGenes	24.69572218841304
Alistipes	GT	numberUniqueCAZyFamilies	10.149974642221746
Alistipes	PL	numberCAZyGenes	4.958836318282019
Alistipes	PL	numberUniqueCAZyFamilies	3.945748786156026
Anaeromassilibacillus	CBM	numberCAZyGenes	16.17063492063492
Anaeromassilibacillus	CBM	numberUniqueCAZyFamilies	5.666666666666667
Anaeromassilibacillus	CE	numberCAZyGenes	9.777777777777779
Anaeromassilibacillus	CE	numberUniqueCAZyFamilies	3.361111111111111
Anaeromassilibacillus	GH	numberCAZyGenes	39.46825396825397
Anaeromassilibacillus	GH	numberUniqueCAZyFamilies	25.642857142857142
Anaeromassilibacillus	GT	numberCAZyGenes	28.460317460317462
Anaeromassilibacillus	GT	numberUniqueCAZyFamilies	7.563492063492063
Anaeromassilibacillus	PL	numberCAZyGenes	1
Anaeromassilibacillus	PL	numberUniqueCAZyFamilies	1
Anaerostipes	CBM	numberCAZyGenes	8.680379746835444
Anaerostipes	CBM	numberUniqueCAZyFamilies	3.16165611814346
Anaerostipes	CE	numberCAZyGenes	6.8397943037974684
Anaerostipes	CE	numberUniqueCAZyFamilies	2.826344936708861
Anaerostipes	GH	numberCAZyGenes	21.06579641350211
Anaerostipes	GH	numberUniqueCAZyFamilies	13.287447257383967
Anaerostipes	GT	numberCAZyGenes	21.09348628691983
Anaerostipes	GT	numberUniqueCAZyFamilies	6.428401898734177
Anaerostipes	PL	numberCAZyGenes	2.5
Anaerostipes	PL	numberUniqueCAZyFamilies	2.25
Bacteroides	CBM	numberCAZyGenes	19.822435832766416
Bacteroides	CBM	numberUniqueCAZyFamilies	7.430244044727304
Bacteroides	CE	numberCAZyGenes	14.937977096233373
Bacteroides	CE	numberUniqueCAZyFamilies	6.504571165775537
