Genus	cazy_family	mean	sd	numberGenomes	Phylum
Akkermansia (1313)	CBM32	5.593297791317593	0.6396580049014061	1313	Verrucomicrobia
Akkermansia (1313)	CBM51	2.59025133282559	0.5559786040173917	1313	Verrucomicrobia
Akkermansia (1313)	GH109	1.9459253617669459	0.2393472778723169	1313	Verrucomicrobia
Akkermansia (1313)	GH110	1.9672505712109674	0.3821391317009928	1313	Verrucomicrobia
Akkermansia (1313)	GH112	0	0	1313	Verrucomicrobia
Akkermansia (1313)	GH123	0.9885757806549885	0.10631234436985794	1313	Verrucomicrobia
Akkermansia (1313)	GH130	0	0	1313	Verrucomicrobia
Akkermansia (1313)	GH136	0	0	1313	Verrucomicrobia
Akkermansia (1313)	GH16	2.9261233815689263	0.27859891182096275	1313	Verrucomicrobia
Akkermansia (1313)	GH18	0.8910891089108911	0.7057180127695851	1313	Verrucomicrobia
Akkermansia (1313)	GH2	6.127951256664128	1.1398090972220223	1313	Verrucomicrobia
Akkermansia (1313)	GH20	10.73038842345773	1.2592818504569467	1313	Verrucomicrobia
Akkermansia (1313)	GH27	1.204112718964204	0.4376504892027257	1313	Verrucomicrobia
Akkermansia (1313)	GH29	3.776085300837776	0.9248306859075719	1313	Verrucomicrobia
Akkermansia (1313)	GH31	1.9337395277989338	0.36337188976756646	1313	Verrucomicrobia
Akkermansia (1313)	GH33	3.4904798172124907	0.6332570409919026	1313	Verrucomicrobia
Akkermansia (1313)	GH35	1.9352627570449352	0.3043101634364955	1313	Verrucomicrobia
Akkermansia (1313)	GH36	0.9878141660319878	0.17850374615294212	1313	Verrucomicrobia
Akkermansia (1313)	GH42	7.616146230007616e-4	0.027597366233044082	1313	Verrucomicrobia
Akkermansia (1313)	GH84	1.8621477532368622	0.38259458353126674	1313	Verrucomicrobia
Akkermansia (1313)	GH85	0	0	1313	Verrucomicrobia
Akkermansia (1313)	GH89	1.7760853008377762	0.5659070789330293	1313	Verrucomicrobia
Akkermansia (1313)	GH92	0.010662604722010662	0.16062644972747084	1313	Verrucomicrobia
Akkermansia (1313)	GH95	2.198781416603199	0.5069020945260356	1313	Verrucomicrobia
Akkermansia (1313)	GH97	0.9436405178979437	0.3072168018794686	1313	Verrucomicrobia
Bacteroides (7293)	CBM32	3.010420951597422	1.9879370168747037	7293	Bacteroidetes
Bacteroides (7293)	CBM51	0.32085561497326204	0.6491901639962092	7293	Bacteroidetes
Bacteroides (7293)	GH109	2.2815028109145756	1.2905557368330858	7293	Bacteroidetes
Bacteroides (7293)	GH110	0.8303853009735362	0.9205392819266193	7293	Bacteroidetes
Bacteroides (7293)	GH112	0.004524886877828055	0.06711952023295202	7293	Bacteroidetes
Bacteroides (7293)	GH123	0.6765391471273824	0.5980352554558719	7293	Bacteroidetes
Bacteroides (7293)	GH130	2.2979569450157684	1.5272950661906146	7293	Bacteroidetes
Bacteroides (7293)	GH136	0.3511586452762923	0.5497322329098816	7293	Bacteroidetes
Bacteroides (7293)	GH16	2.0581379404908815	1.6986066663183679	7293	Bacteroidetes
Bacteroides (7293)	GH18	2.7514054572878104	2.760913071668856	7293	Bacteroidetes
Bacteroides (7293)	GH2	19.237488002193885	7.641934274757229	7293	Bacteroidetes
Bacteroides (7293)	GH20	7.763883175647882	3.3407137654232564	7293	Bacteroidetes
Bacteroides (7293)	GH27	1.2359797065679419	1.115078849212526	7293	Bacteroidetes
Bacteroides (7293)	GH29	5.575071986836693	3.336457058898015	7293	Bacteroidetes
