mOTU_ID	Family	Genus	Species	cazy_family	prevalence
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	CBM32	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	CBM51	0.82
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH109	0.94
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH110	0
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH112	0
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH123	0.98
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH130	0.94
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH136	0
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH16	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH18	0
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH2	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH20	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH27	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH29	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH31	0.94
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH33	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH35	0
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH36	0.84
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH42	0
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH84	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH85	0.96
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH89	0.04
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH92	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH95	1
00717	171552 Prevotellaceae	838 Prevotella	363265 Prevotella stercorea [Prevotella stercorea CAG:629/Prevotella stercorea]	GH97	0.94
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	CBM32	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	CBM51	0.4
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH109	0.94
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH110	0.02
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH112	0
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH123	0.28
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH130	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH136	0.02
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH16	0.84
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH18	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH2	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH20	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH27	0.48
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH29	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH31	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH33	0.74
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH35	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH36	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH42	0.92
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH84	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH85	0
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH89	0.04
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH92	1
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH95	0.98
00855	815 Bacteroidaceae	816 Bacteroides	820 Bacteroides uniformis	GH97	1
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	CBM32	0.6842105263157895
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	CBM51	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH109	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH110	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH112	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH123	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH130	0.8947368421052632
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH136	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH16	1
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH18	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH2	1
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH20	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH27	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH29	0.10526315789473684
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH31	1
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH33	1
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH35	1
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH36	0.9473684210526315
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH42	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH84	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH85	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH89	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH92	0
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH95	1
01006	171552 Prevotellaceae	838 Prevotella	28126 Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	GH97	1
01014	171550 Rikenellaceae	239759 Alistipes	328814 Alistipes shahii [Alistipes sp. 56_sp_Nov_56_25/Alistipes shahii]	CBM32	0.98
01014	171550 Rikenellaceae	239759 Alistipes	328814 Alistipes shahii [Alistipes sp. 56_sp_Nov_56_25/Alistipes shahii]	CBM51	0
01014	171550 Rikenellaceae	239759 Alistipes	328814 Alistipes shahii [Alistipes sp. 56_sp_Nov_56_25/Alistipes shahii]	GH109	1
01014	171550 Rikenellaceae	239759 Alistipes	328814 Alistipes shahii [Alistipes sp. 56_sp_Nov_56_25/Alistipes shahii]	GH110	0.36
01014	171550 Rikenellaceae	239759 Alistipes	328814 Alistipes shahii [Alistipes sp. 56_sp_Nov_56_25/Alistipes shahii]	GH112	0
