media,condition,species,g,strainID,strain,time_h,OD,medium_batch,media1,slope,intercept,growth_inferred
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",0,7.000000000000005e-5,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",0.30303030303030304,1.5137717387787438e-4,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",0.6060606060606061,2.8005609367253283e-4,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",0.9090909090909092,4.8353163368538405e-4,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",1.2121212121212122,8.052804908376648e-4,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",1.5151515151515151,0.0013140508672291492,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",1.8181818181818183,0.0021185519249315,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",2.121212121212121,0.003390681714473694,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",2.4242424242424243,0.005402256697435879,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",2.7272727272727275,0.008583090874375891,WCA,NA,NA,NA,TRUE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",3.0303030303030303,0.013291579180710875,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",3.3333333333333335,0.01659018464203934,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",3.6363636363636367,0.02070312483449104,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",3.9393939393939394,0.025831436548336254,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",4.242424242424242,0.029332887489449053,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",4.545454545454546,0.03253371888935541,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",4.848484848484849,0.036082996395253995,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",5.151515151515151,0.039849918840653586,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",5.454545454545455,0.04382380150760346,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",5.757575757575758,0.04819326973457713,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",6.0606060606060606,0.05303594606557945,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",6.363636363636364,0.05853315693925209,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",6.666666666666667,0.06459940630349803,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",6.96969696969697,0.07129359762976763,WCA,NA,NA,NA,FALSE
WCA,With mucin,A. muciniphila,G8P4,DSM22959,"A. muciniphila
(DSM22959)",7.272727272727273,0.07720558502934738,WCA,NA,NA,NA,FALSE
