sampleID	genus	relAb	Income status
A01_02_1FE	g__Bacteroides	0.009668508287292803	LMIS
A02_01_1FE	g__Bacteroides	0	LMIS
A03_01_1FE	g__Bacteroides	0	LMIS
A04_01_1FE	g__Bacteroides	3.911342894393742e-4	LMIS
A04_04_1FE	g__Bacteroides	0.001374608236652554	LMIS
A05_01_1FE	g__Bacteroides	0.00269541778975741	LMIS
A06_01_1FE	g__Bacteroides	0	LMIS
A07_01_1FE	g__Bacteroides	0.002896918001126575	LMIS
A08_01_1FE	g__Bacteroides	0.008625862586258614	LMIS
A09_01_1FE	g__Bacteroides	5.203590477429426e-4	LMIS
A09_02_1FE	g__Bacteroides	2.4778848774685927e-5	LMIS
A10_01_1FE	g__Bacteroides	0	LMIS
A10_02_1FE	g__Bacteroides	0.00145067698259187	LMIS
A11_01_1FE	g__Bacteroides	0	LMIS
A13_01_1FE	g__Bacteroides	3.907267517582704e-4	LMIS
A13_03_1FE	g__Bacteroides	5.469462169553328e-4	LMIS
A14_01_1FE	g__Bacteroides	0	LMIS
A15_02_1FE	g__Bacteroides	0.1317717283169033	LMIS
A19_01_1FE	g__Bacteroides	0	LMIS
A20_01_1FE	g__Bacteroides	3.248862897985705e-4	LMIS
A20_03_1FE	g__Bacteroides	0.00107053645771381	LMIS
A22_01_1FE	g__Bacteroides	3.46860908775581e-4	LMIS
A23_01_1FE	g__Bacteroides	0.0011787819253438114	LMIS
A24_02_1FE	g__Bacteroides	0.0016396802623488355	LMIS
A24_04_1FE	g__Bacteroides	0.004177109440267335	LMIS
A25_01_1FE	g__Bacteroides	0	LMIS
A27_02_1FE	g__Bacteroides	0.023320895522388044	LMIS
A28_02_1FE	g__Bacteroides	2.2521677114222438e-4	LMIS
A29_01_1FE	g__Bacteroides	0.00823529411764705	LMIS
A32_01_1FE	g__Bacteroides	0.00862745098039215	LMIS
A34_01_1FE	g__Bacteroides	5.417118093174431e-4	LMIS
A34_02_1FE	g__Bacteroides	3.97456279809221e-4	LMIS
A35_01_1FE	g__Bacteroides	0	LMIS
A36_01_1FE	g__Bacteroides	0.0032879988043640713	LMIS
A36_02_1FE	g__Bacteroides	0.002478753541076485	LMIS
A39_01_1FE	g__Bacteroides	0	LMIS
A39_02_1FE	g__Bacteroides	0.09493219129193434	LMIS
A39_04_1FE	g__Bacteroides	3.129237509126942e-4	LMIS
