protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GUT_GENOME100553_26___61143___62645___-___GOHFGBAI_02293	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME060853_7___100358___101974___-___JEGJLKHA_00820	538	S1_11	498	4.4e-236	777.3	5	485	42	531	96.4	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME025112_29___67805___69307___+___LNFPPNAB_02739	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME080798_179___5295___6806___-___HAGIENJO_03841	503	S1_15	471	2.9e-170	559.9	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME080798_2___15989___17551___-___HAGIENJO_00029	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME100553_90___25074___26585___-___GOHFGBAI_04703	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME084445_747___9722___11197___-___KKOGDCMD_05089	491	S1_64	483	2.8e-220	725.3	1	483	3	487	99.8	1	high		
GUT_GENOME070852_179___11209___12753___-___GEACAIOJ_01578	514	S1_108	495	3.8e-122	401.5	3	490	21	501	98.4	1	high		
GUT_GENOME093573_67___33566___35047___-___GEGFECFM_03501	493	S1_64	483	8.8e-220	723.7	1	483	3	487	99.8	1	high		
GUT_GENOME080798_216___9258___10595___-___HAGIENJO_04473	445	S1_83	449	1.8e-220	725.1	2	442	2	445	98.0	1	high		
GUT_GENOME004912_130___4846___6357___-___PBCFILAN_04614	503	S1_55	499	1.2e-243	801.8	2	499	2	500	99.6	1	high		
GUT_GENOME029446_57___22201___23865___+___OCLNPGGP_03234	554	S1_46	459	8.9e-141	462.3	1	451	6	447	98.0	1	high		
GUT_GENOME093573_57___31681___33147___-___GEGFECFM_03196	488	S1_52	473	2.6e-223	734.9	2	472	2	485	99.4	1	high		
GUT_GENOME060853_2___100665___102080___+___JEGJLKHA_00255	471	S1_20	444	1.6e-147	484.7	2	437	33	467	98.0	1	high		
GUT_GENOME093573_50___3649___5115___-___GEGFECFM_02918	488	S1_46	459	7.1e-151	495.6	2	456	2	445	98.9	1	high		
GUT_GENOME080798_204___11024___12388___-___HAGIENJO_04295	454	S1_46	459	1.7e-101	332.9	3	443	2	451	95.9	1	high		
GUT_GENOME029446_57___23878___25494___+___OCLNPGGP_03235	538	S1_4	536	2.4e-178	586.8	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME080798_17___313___1827___-___HAGIENJO_00318	504	S1_11	498	2.4e-185	609.9	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME096460_368___14212___15687___-___ADMJHJAO_06528	491	S1_64	483	3.8e-220	724.9	1	483	3	487	99.8	1	high		
GUT_GENOME004912_53___38709___38999___+___PBCFILAN_02780	96	S1_56	526	4.9e-31	100.6	2	94	2	93	17.5	1	probable fragment		
