protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GUT_GENOME266648.faa|MBLLBCNE_01290	519	S1_20	444	1.6e-123	405.5	3	428	26	512	95.7	1	high		
GUT_GENOME243875.faa|JGILPMII_02265	162	S1_11	498	6.1e-50	163.3	342	484	1	146	28.5	1	probable fragment		
GUT_GENOME038088.faa|NBIAGOBD_02033	465	S1_19	430	4.5e-151	496.0	3	427	28	453	98.6	1	high	3.1.6.- 	
GUT_GENOME281127.faa|HDJCHFBC_00705	1473	S1_20	444	6.9e-128	419.9	2	436	562	1073	97.7	1	high		
GUT_GENOME155462.faa|LNIPPHIK_02248	581	S1_11	498	9.1e-177	581.6	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME242083.faa|HJBPLOEH_01109	561	S1_16	444	4.1e-152	499.5	2	433	34	540	97.1	1	high		
GUT_GENOME247481.faa|MONJFGFO_00686	585	S1_11	498	9.3e-177	581.6	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME002882.faa|OALMGJLK_00653	552	S1_11	498	1.3e-194	640.4	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME156599.faa|HAKEHGPD_00669	561	S1_16	444	2.9e-152	500.0	2	433	34	540	97.1	1	high		
GUT_GENOME210632.faa|BFOLBKID_01633	552	S1_11	498	1.2e-194	640.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME243875.faa|JGILPMII_00644	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME139599.faa|EILHAPEM_00726	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME139599.faa|EILHAPEM_00899	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME106453.faa|LNIDCBHM_01391	562	S1_16	444	3.4e-156	513.0	2	433	35	542	97.1	1	high		
GUT_GENOME092915.faa|AGMFLMNB_00029	519	S1_20	444	1.6e-123	405.5	3	428	26	512	95.7	1	high		
GUT_GENOME105409.faa|BIPPCPIG_00140	552	S1_11	498	1.7e-195	643.4	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME247481.faa|MONJFGFO_00654	519	S1_20	444	5.2e-126	413.8	3	428	26	512	95.7	1	high		
GUT_GENOME085794.faa|NMDHGMDJ_01822	554	S1_16	444	9.6e-153	501.6	2	433	27	533	97.1	1	high		
GUT_GENOME281127.faa|HDJCHFBC_01122	554	S1_16	444	9.6e-153	501.6	2	433	27	533	97.1	1	high		
GUT_GENOME259335.faa|JIKEIINB_00156	522	S1_4	536	1e-145	479.2	2	506	26	520	94.0	1	high	3.1.6.1 	
GUT_GENOME273078.faa|BNFHDNKD_01911	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME217481.faa|CCANEHMM_00748	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME164131.faa|GHEPHDMH_00850	552	S1_11	498	3.8e-195	642.3	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME002882.faa|OALMGJLK_00154	554	S1_16	444	9.6e-153	501.6	2	433	27	533	97.1	1	high		
GUT_GENOME038088.faa|NBIAGOBD_00051	526	S1_15	471	7.1e-185	608.1	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME092915.faa|AGMFLMNB_00024	523	S1_4	536	3.5e-147	484.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME106990.faa|LKBJOKJK_00261	719	S1_20	444	8.4e-131	429.6	2	431	35	541	96.6	1	high		
GUT_GENOME086530.faa|DPFJJPCF_01845	499	S1_20	444	5.9e-155	509.2	3	436	24	488	97.5	1	high		
GUT_GENOME092915.faa|AGMFLMNB_02351	585	S1_11	498	1e-175	578.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME255768.faa|AIBCMJDB_00719	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME260853.faa|IKEKDHGI_02253	1414	S1_20	444	1e-128	422.7	2	436	503	1014	97.7	1	high		
GUT_GENOME106990.faa|LKBJOKJK_01509	573	S1_16	444	2.3e-156	513.5	2	433	46	553	97.1	1	high		
GUT_GENOME104567.faa|MBCABGCL_00505	561	S1_16	444	3.3e-152	499.9	2	433	34	540	97.1	1	high		
GUT_GENOME265600.faa|LCKAFMKK_01341	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME157481.faa|PPOMAIBF_00337	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME247481.faa|MONJFGFO_00540	465	S1_19	430	2.6e-151	496.8	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME258945.faa|FOHCDBNE_02340	585	S1_11	498	6.2e-177	582.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME217481.faa|CCANEHMM_01644	1414	S1_20	444	6.8e-128	420.0	2	436	503	1014	97.7	1	high		
GUT_GENOME002882.faa|OALMGJLK_00296	562	S1_16	444	3.8e-156	512.8	2	433	35	542	97.1	1	high		
GUT_GENOME258945.faa|FOHCDBNE_00251	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME114677.faa|IKGKJEHL_02114	573	S1_16	444	2.3e-156	513.5	2	433	46	553	97.1	1	high		
GUT_GENOME161266.faa|DDBLOCLM_00379	552	S1_11	498	5.7e-194	638.3	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME105409.faa|BIPPCPIG_01447	561	S1_16	444	2.4e-152	500.3	2	433	34	540	97.1	1	high		
GUT_GENOME104567.faa|MBCABGCL_00102	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME175440.faa|LHGNBIBK_00026	523	S1_4	536	3.5e-147	484.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME086530.faa|DPFJJPCF_01802	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME131327.faa|DDMHHACP_00384	526	S1_15	471	4.1e-184	605.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME273247.faa|MKHLHNEA_01424	552	S1_11	498	2.5e-194	639.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME230538.faa|GMNHGJCE_00203	497	S1_20	444	3.5e-155	509.9	2	435	24	488	97.5	1	high		
GUT_GENOME218696.faa|NHAGJDJP_01081	465	S1_19	430	1.2e-151	498.0	3	427	28	453	98.6	1	high	3.1.6.- 	
GUT_GENOME106990.faa|LKBJOKJK_01810	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME104567.faa|MBCABGCL_01974	573	S1_16	444	1.1e-156	514.6	2	433	46	553	97.1	1	high		
GUT_GENOME139599.faa|EILHAPEM_01300	526	S1_15	471	4.6e-184	605.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME044384.faa|GBDGKCGM_02130	585	S1_11	498	3.4e-176	579.7	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME153556.faa|MANFFFOG_01790	526	S1_15	471	1e-184	607.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME259335.faa|JIKEIINB_01722	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME020550.faa|GDEADFIN_02137	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME225332.faa|NAFIBCMC_00561	552	S1_11	498	1.9e-195	643.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME273247.faa|MKHLHNEA_01867	562	S1_16	444	3.8e-156	512.8	2	433	35	542	97.1	1	high		
GUT_GENOME003953.faa|LBKMNOIF_00224	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME085794.faa|NMDHGMDJ_00548	552	S1_11	498	4.9e-194	638.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME105409.faa|BIPPCPIG_00419	465	S1_19	430	8e-151	495.2	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME128755.faa|HDOKFKAO_01156	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME259335.faa|JIKEIINB_00493	1414	S1_20	444	6.4e-128	420.1	2	436	503	1014	97.7	1	high		
GUT_GENOME044384.faa|GBDGKCGM_00092	1414	S1_20	444	6.4e-129	423.4	2	436	503	1014	97.7	1	high		
GUT_GENOME210632.faa|BFOLBKID_01812	530	S1_16	444	5.3e-149	489.3	2	410	35	519	91.9	1	high		
GUT_GENOME104157.faa|BLNHLLKH_00417	561	S1_16	444	3.3e-152	499.9	2	433	34	540	97.1	1	high		
GUT_GENOME218696.faa|NHAGJDJP_01606	1414	S1_20	444	2.1e-128	421.6	2	436	503	1014	97.7	1	high		
GUT_GENOME038088.faa|NBIAGOBD_01825	561	S1_16	444	5.3e-153	502.5	2	433	34	540	97.1	1	high		
GUT_GENOME106453.faa|LNIDCBHM_01018	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME259335.faa|JIKEIINB_00928	519	S1_20	444	4.3e-126	414.0	3	428	26	512	95.7	1	high		
GUT_GENOME266648.faa|MBLLBCNE_00068	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME164131.faa|GHEPHDMH_00739	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME020550.faa|GDEADFIN_00951	585	S1_11	498	5.3e-177	582.4	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME063485.faa|IFAHCEJC_01422	552	S1_11	498	1.2e-194	640.6	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME139599.faa|EILHAPEM_02083	573	S1_16	444	2.3e-156	513.5	2	433	46	553	97.1	1	high		
GUT_GENOME157481.faa|PPOMAIBF_00886	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME128755.faa|HDOKFKAO_01312	419	S1_20	444	4.3e-120	394.3	60	436	1	408	84.7	1	high		
GUT_GENOME258945.faa|FOHCDBNE_00293	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME085794.faa|NMDHGMDJ_00261	585	S1_11	498	5.9e-177	582.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME104157.faa|BLNHLLKH_01797	573	S1_16	444	1.1e-156	514.6	2	433	46	553	97.1	1	high		
GUT_GENOME105409.faa|BIPPCPIG_00679	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME175440.faa|LHGNBIBK_01788	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME156599.faa|HAKEHGPD_01059	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME156599.faa|HAKEHGPD_00302	519	S1_20	444	2.9e-125	411.3	3	428	26	512	95.7	1	high		
GUT_GENOME085794.faa|NMDHGMDJ_02006	194	S1_19	430	9e-47	152.4	245	426	2	181	42.1	1	probable fragment		
GUT_GENOME104157.faa|BLNHLLKH_00143	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
